Date,Price,Open,High,Low,Vol.,Change %
2025-05-03,1833.93,1842.06,1848.21,1812.76,251340.0,-0.44
2025-05-02,1842.06,1838.09,1869.96,1814.42,464790.0,0.2
2025-05-01,1838.32,1793.62,1872.73,1792.54,606440.0,2.49
2025-04-30,1793.58,1798.4,1816.38,1736.41,533700.0,-0.27
2025-04-29,1798.47,1799.26,1841.95,1781.4,537560.0,-0.04
2025-04-28,1799.24,1790.21,1826.35,1748.24,681190.0,0.44
2025-04-27,1791.42,1820.65,1854.66,1785.03,378990.0,-1.61
2025-04-26,1820.65,1784.58,1835.72,1779.8,399270.0,1.94
2025-04-25,1785.96,1769.6,1825.49,1739.39,664670.0,0.93
2025-04-24,1769.53,1795.05,1802.47,1725.56,552530.0,-1.42
2025-04-23,1795.07,1756.94,1831.23,1745.53,987580.0,2.22
2025-04-22,1756.11,1578.44,1767.1,1545.34,1220000.0,11.18
2025-04-21,1579.59,1587.0,1655.82,1569.22,765650.0,-0.48
2025-04-20,1587.28,1613.18,1618.94,1566.8,313170.0,-1.57
2025-04-19,1612.58,1587.98,1627.5,1585.19,254250.0,1.49
2025-04-18,1588.93,1584.61,1600.54,1573.76,227750.0,0.39
2025-04-17,1582.73,1577.85,1615.99,1563.87,509340.0,0.35
2025-04-16,1577.14,1587.39,1611.43,1539.11,687090.0,-0.73
2025-04-15,1588.8,1625.32,1660.34,1584.81,543640.0,-2.15
2025-04-14,1623.73,1596.46,1690.44,1596.14,747300.0,1.62
2025-04-13,1597.77,1643.09,1648.38,1566.77,665930.0,-2.82
2025-04-12,1644.12,1566.9,1666.39,1546.84,570510.0,4.94
2025-04-11,1566.77,1519.63,1587.87,1507.56,653520.0,2.93
2025-04-10,1522.13,1669.39,1669.39,1475.06,1030000.0,-8.84
2025-04-09,1669.74,1473.05,1685.53,1388.12,2130000.0,13.33
2025-04-08,1473.4,1550.31,1618.47,1450.32,990640.0,-5.13
2025-04-07,1553.01,1585.21,1633.22,1422.8,2350000.0,-1.75
2025-04-06,1580.65,1805.11,1816.3,1539.45,1080000.0,-12.5
2025-04-05,1806.47,1816.96,1827.2,1767.51,224660.0,-0.54
2025-04-04,1816.36,1816.86,1835.3,1760.71,641060.0,-0.01
2025-04-03,1816.53,1795.92,1844.01,1752.7,566790.0,1.17
2025-04-02,1795.59,1905.0,1953.57,1783.01,821610.0,-5.74
2025-04-01,1904.99,1822.41,1925.72,1818.07,499060.0,4.56
2025-03-31,1821.95,1808.04,1851.59,1778.51,558430.0,0.83
2025-03-30,1807.02,1828.23,1848.78,1773.41,371080.0,-1.14
2025-03-29,1827.84,1896.93,1912.79,1801.47,455600.0,-3.63
2025-03-28,1896.69,2002.95,2015.96,1864.56,694860.0,-5.34
2025-03-27,2003.67,2009.58,2036.74,1988.1,396460.0,-0.29
2025-03-26,2009.59,2066.19,2078.19,1982.6,474960.0,-2.74
2025-03-25,2066.19,2081.24,2094.94,2038.55,364910.0,-0.6
2025-03-24,2078.73,2006.0,2101.23,1978.62,528630.0,3.62
2025-03-23,2006.02,1980.78,2019.69,1977.07,296950.0,1.27
2025-03-22,1980.8,1965.74,2005.8,1965.45,185640.0,0.77
2025-03-21,1965.58,1983.94,1996.73,1938.55,291890.0,-0.91
2025-03-20,1983.57,2056.11,2066.45,1952.95,433710.0,-3.55
2025-03-19,2056.62,1931.79,2069.43,1927.77,743840.0,6.42
2025-03-18,1932.61,1926.94,1934.56,1873.19,353900.0,0.32
2025-03-17,1926.35,1886.66,1951.93,1880.49,362870.0,2.05
2025-03-16,1887.65,1936.53,1940.61,1863.28,353240.0,-2.56
2025-03-15,1937.17,1910.71,1954.5,1904.3,225980.0,1.34
2025-03-14,1911.62,1863.57,1945.25,1861.63,405340.0,2.52
2025-03-13,1864.69,1906.05,1916.35,1823.72,617450.0,-2.28
2025-03-12,1908.22,1923.22,1955.5,1833.7,844660.0,-0.73
2025-03-11,1922.28,1865.07,1961.1,1766.97,1260000.0,3.1
2025-03-10,1864.4,2019.89,2144.65,1821.03,1340000.0,-7.7
2025-03-09,2019.89,2203.59,2211.54,1993.97,645580.0,-8.34
2025-03-08,2203.59,2140.49,2232.28,2107.01,352500.0,2.92
2025-03-07,2141.17,2202.22,2248.54,2105.35,844510.0,-2.78
2025-03-06,2202.39,2243.09,2319.82,2177.78,636240.0,-1.75
2025-03-05,2241.65,2170.29,2272.73,2156.24,721810.0,3.29
2025-03-04,2170.29,2143.02,2221.61,2001.5,1350000.0,0.99
2025-03-03,2149.11,2509.98,2511.58,2099.7,1180000.0,-14.66
2025-03-02,2518.17,2217.53,2546.39,2179.67,1350000.0,13.56
2025-03-01,2217.53,2233.88,2280.35,2144.69,480610.0,-0.84
2025-02-28,2236.41,2307.32,2312.79,2078.68,1390000.0,-3.09
2025-02-27,2307.73,2337.98,2379.59,2232.28,687340.0,-1.29
2025-02-26,2337.98,2496.06,2507.13,2258.6,933330.0,-6.33
2025-02-25,2496.06,2511.04,2533.18,2339.46,1440000.0,-0.59
2025-02-24,2510.94,2819.69,2838.22,2493.73,959090.0,-10.95
2025-02-23,2819.69,2763.23,2837.98,2745.96,655960.0,2.04
2025-02-22,2763.23,2662.35,2795.29,2654.73,485010.0,3.79
2025-02-21,2662.35,2738.05,2841.56,2619.06,974360.0,-2.76
2025-02-20,2738.03,2716.16,2767.27,2707.5,372950.0,0.81
2025-02-19,2716.16,2671.36,2735.99,2657.15,362400.0,1.68
2025-02-18,2671.36,2743.55,2754.43,2610.47,648950.0,-2.63
2025-02-17,2743.47,2662.78,2845.96,2647.51,696200.0,3.03
2025-02-16,2662.8,2693.04,2724.22,2656.73,207060.0,-1.14
2025-02-15,2693.4,2725.51,2738.17,2675.51,216630.0,-1.18
2025-02-14,2725.51,2675.33,2789.23,2665.51,466760.0,1.88
2025-02-13,2675.3,2737.86,2756.21,2617.39,496620.0,-2.22
2025-02-12,2735.91,2603.11,2789.88,2553.5,689450.0,5.1
2025-02-11,2603.11,2661.0,2724.5,2579.93,521350.0,-2.18
2025-02-10,2661.0,2628.27,2691.62,2563.27,425460.0,1.24
2025-02-09,2628.27,2631.61,2681.93,2534.86,423070.0,-0.12
2025-02-08,2631.56,2622.81,2666.86,2590.08,403820.0,0.33
2025-02-07,2622.81,2688.28,2797.1,2564.79,745290.0,-2.44
2025-02-06,2688.28,2785.69,2854.27,2666.71,772850.0,-3.49
2025-02-05,2785.62,2731.76,2822.55,2702.34,731420.0,1.97
2025-02-04,2731.76,2881.91,2884.91,2636.03,1330000.0,-5.21
2025-02-03,2881.9,2869.72,2904.34,2261.27,3000000.0,0.42
2025-02-02,2869.75,3116.44,3163.03,2788.75,1170000.0,-8.0
2025-02-01,3119.13,3298.69,3331.28,3102.98,377660.0,-5.44
2025-01-31,3298.69,3247.22,3434.27,3214.07,700310.0,1.59
2025-01-30,3247.22,3113.26,3281.91,3093.23,386530.0,4.3
2025-01-29,3113.26,3077.78,3171.08,3055.53,449520.0,1.15
2025-01-28,3077.83,3182.86,3222.96,3041.05,386370.0,-3.2
2025-01-27,3179.47,3234.11,3253.0,3030.68,819620.0,-1.69
2025-01-26,3234.18,3318.14,3359.15,3234.07,288830.0,-2.53
2025-01-25,3318.14,3311.05,3350.22,3272.14,225910.0,0.21
2025-01-24,3311.05,3338.42,3423.71,3276.3,497870.0,-0.82
2025-01-23,3338.37,3242.6,3344.36,3189.5,672000.0,2.95
2025-01-22,3242.6,3327.55,3365.53,3223.17,373500.0,-2.57
2025-01-21,3328.3,3282.74,3364.9,3204.77,597360.0,1.39
2025-01-20,3282.68,3216.67,3449.78,3150.35,1260000.0,2.05
2025-01-19,3216.74,3308.73,3445.65,3133.37,1440000.0,-2.78
2025-01-18,3308.74,3472.84,3493.38,3233.53,677720.0,-4.73
2025-01-17,3472.84,3307.1,3524.96,3307.1,574060.0,5.01
2025-01-16,3307.0,3450.79,3459.88,3267.48,536740.0,-4.17
2025-01-15,3450.79,3224.16,3469.81,3187.66,527110.0,7.03
2025-01-14,3224.06,3137.77,3254.32,3127.34,413870.0,2.75
2025-01-13,3137.73,3267.52,3337.9,2943.61,952500.0,-3.97
2025-01-12,3267.3,3282.89,3299.65,3225.06,187610.0,-0.5
2025-01-11,3283.57,3267.08,3319.41,3219.02,170840.0,0.5
2025-01-10,3267.08,3218.15,3320.94,3197.86,500730.0,1.52
2025-01-09,3218.15,3327.14,3356.69,3160.67,543600.0,-3.28
2025-01-08,3327.14,3380.5,3414.89,3218.35,638460.0,-1.58
2025-01-07,3380.56,3687.71,3700.71,3358.95,589560.0,-8.33
2025-01-06,3687.75,3635.11,3742.07,3611.01,364630.0,1.45
2025-01-05,3635.11,3656.94,3672.41,3596.63,170020.0,-0.57
2025-01-04,3656.13,3608.79,3669.62,3574.98,249810.0,1.31
2025-01-03,3608.79,3455.21,3626.1,3424.79,367780.0,4.45
2025-01-02,3455.19,3360.14,3494.6,3355.49,362320.0,2.83
2025-01-01,3360.14,3337.8,3373.11,3315.98,209220.0,0.67
2024-12-31,3337.8,3361.99,3449.27,3317.39,333440.0,-0.72
2024-12-30,3361.99,3355.97,3436.83,3306.11,494990.0,0.18
2024-12-29,3355.97,3404.53,3412.32,3327.45,176430.0,-1.43
2024-12-28,3404.59,3334.23,3427.65,3322.42,196380.0,2.11
2024-12-27,3334.19,3335.96,3438.85,3309.03,378000.0,-0.05
2024-12-26,3335.96,3496.5,3512.77,3305.53,360400.0,-4.59
2024-12-25,3496.49,3493.33,3546.29,3442.61,259250.0,0.09
2024-12-24,3493.31,3422.01,3539.54,3359.77,352360.0,2.08
2024-12-23,3422.01,3281.58,3463.58,3220.1,547740.0,4.28
2024-12-22,3281.58,3338.72,3401.96,3223.39,400570.0,-1.71
2024-12-21,3338.66,3474.05,3555.05,3294.0,521990.0,-3.9
2024-12-20,3474.01,3418.83,3496.35,3103.72,1450000.0,1.61
